Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
1,2.134945,0.060114,2.074831,20.125060,16.087093,0.416718,19.237091,15.141228,0.053469,0.324259,0.303144,0.318142,0.324259
2,1.866490,0.039925,1.826565,18.202998,14.426404,0.537136,18.704035,14.621281,-0.321593,0.388430,0.374798,0.391460,0.388430
3,1.759719,0.034402,1.725317,16.345298,13.006580,-2.922203,15.524377,12.093547,-1.384531,0.438017,0.429671,0.455482,0.438017
4,1.655345,0.031978,1.623367,14.293399,11.170345,1.162116,14.090543,10.958987,0.964100,0.443850,0.433452,0.476450,0.443850
5,1.547660,0.027357,1.520303,13.959570,10.875041,0.874813,13.643160,10.531705,1.909849,0.484686,0.467875,0.543212,0.484686
6,1.481679,0.025666,1.456013,12.239286,9.474877,-1.362885,12.516327,9.791402,-1.521299,0.539135,0.526033,0.548783,0.539135
7,1.427547,0.024596,1.402950,11.244463,8.556647,1.342692,12.146925,9.121517,2.906053,0.578026,0.569146,0.605334,0.578026
8,1.322359,0.020061,1.302298,10.613426,8.198174,0.474349,10.702902,8.340679,-0.037213,0.622265,0.626218,0.641680,0.622265
9,1.274598,0.021592,1.253006,11.609682,8.973370,-0.305021,12.127420,9.391227,-1.163563,0.638794,0.641400,0.654435,0.638794
10,1.226915,0.019540,1.207375,11.962603,9.279587,-0.501396,12.297530,9.431404,-0.033207,0.666018,0.664445,0.686041,0.666018
11,1.191439,0.016625,1.174813,10.709055,8.251617,3.796322,10.289337,7.834258,3.193983,0.655323,0.647187,0.674813,0.655323
12,1.149662,0.017344,1.132318,9.710620,7.541083,-1.803649,9.800794,7.702923,-1.307204,0.675741,0.671851,0.705152,0.675741
13,1.092388,0.016256,1.076132,10.390918,8.255353,-2.820656,10.614228,8.512966,-2.918412,0.708313,0.703572,0.728292,0.708313
14,1.065282,0.015153,1.050128,11.248508,8.668318,-2.226388,11.101188,8.734672,-2.853328,0.746719,0.744177,0.757511,0.746719
15,1.032882,0.015100,1.017782,9.828098,7.292874,2.178030,10.158094,7.614044,3.003663,0.736509,0.737947,0.759050,0.736509
16,0.963245,0.013069,0.950176,9.791908,7.280027,1.334733,9.675159,7.372474,0.648429,0.756441,0.759099,0.771918,0.756441
17,0.956470,0.014648,0.941822,12.181726,9.299053,-2.410403,13.546353,10.314677,-3.590978,0.761303,0.758079,0.776277,0.761303
18,0.924957,0.014193,0.910765,10.051621,7.815605,-1.029410,9.495997,7.449351,-1.939145,0.757900,0.758218,0.775310,0.757900
19,0.889020,0.012594,0.876426,8.782586,6.767519,0.969130,8.614992,6.706158,0.384516,0.811862,0.812041,0.822743,0.811862
20,0.854118,0.011149,0.842970,8.597478,6.612790,0.356017,8.777666,6.891230,0.249977,0.810404,0.810673,0.827525,0.810404
21,0.840372,0.012511,0.827861,10.145093,7.664899,0.096387,9.426422,7.283360,0.377828,0.823043,0.823198,0.832472,0.823043
22,0.806661,0.011644,0.795017,8.174886,6.283020,0.153885,8.546117,6.580649,0.135107,0.806514,0.807693,0.820699,0.806514
23,0.814082,0.011179,0.802903,8.594842,6.611626,1.779893,8.668836,6.738810,0.325510,0.834225,0.835382,0.843243,0.834225
24,0.776340,0.011288,0.765052,8.270066,6.337300,0.035026,8.254366,6.377645,0.387601,0.851240,0.852758,0.859073,0.851240
25,0.800227,0.012124,0.788103,8.197959,6.359181,-0.717850,8.413148,6.763032,-0.869891,0.827419,0.830304,0.842134,0.827419
