Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
1,2.216388,0.082813,2.133575,21.728806,17.600615,1.209297,21.491363,16.955103,1.058807,0.315508,0.271026,0.309010,0.315508
2,1.904705,0.048697,1.856008,20.351302,16.222897,0.543851,21.398895,16.594007,2.537841,0.361206,0.334238,0.367026,0.361206
3,1.751166,0.041607,1.709559,15.970087,12.354525,-0.044520,16.216020,12.634440,2.714695,0.409820,0.383478,0.437907,0.409820
4,1.605336,0.035689,1.569647,15.173098,11.445358,-1.603663,14.876923,11.254310,0.174865,0.504618,0.493436,0.499449,0.504618
5,1.543328,0.032630,1.510698,14.932513,11.712141,0.088763,15.005168,11.866063,-1.265331,0.527953,0.509550,0.578747,0.527953
6,1.426998,0.028614,1.398383,13.540684,10.440217,-0.046521,14.408115,11.290173,-0.240684,0.557122,0.550423,0.569113,0.557122
7,1.317652,0.024327,1.293324,12.542845,9.657902,-2.235324,13.245460,10.371878,-2.654519,0.607681,0.591187,0.623949,0.607681
8,1.321181,0.023549,1.297631,12.607629,9.881598,0.736962,12.909162,10.106561,-1.293195,0.647545,0.645125,0.653539,0.647545
9,1.211232,0.021178,1.190053,11.520423,8.821997,0.905677,11.363595,8.821799,0.388886,0.683520,0.681715,0.693276,0.683520
10,1.184383,0.020445,1.163938,11.164344,8.547442,3.502098,11.011711,8.366975,3.061079,0.627127,0.611692,0.636371,0.627127
11,1.151532,0.019607,1.131924,9.647062,7.387713,-0.167051,11.524680,8.238061,0.208499,0.691298,0.676932,0.716531,0.691298
12,1.079992,0.017466,1.062526,11.579762,9.052209,-1.238689,13.460854,10.813926,-2.941339,0.699076,0.692937,0.712231,0.699076
13,1.055166,0.016487,1.038679,9.821148,7.706076,-2.935709,10.631373,8.519434,-1.943396,0.725814,0.721515,0.741158,0.725814
14,1.017230,0.016437,1.000794,9.815729,7.562812,1.024454,9.914295,7.643591,0.741985,0.748663,0.746389,0.757455,0.748663
15,0.956706,0.015810,0.940896,11.265615,8.264661,-0.122175,11.798734,8.989823,-0.617075,0.745746,0.750158,0.759519,0.745746
16,0.903714,0.014287,0.889427,9.589751,7.539959,-3.316744,10.403084,8.177299,-2.930427,0.767623,0.764001,0.770643,0.767623
17,0.910205,0.014123,0.896082,8.591745,6.587088,0.505565,8.883396,6.773996,1.254377,0.810890,0.809484,0.814505,0.810890
18,0.860185,0.012897,0.847288,9.579948,7.398522,-1.190196,9.901436,7.465137,-0.212710,0.766650,0.762047,0.776821,0.766650
19,0.859240,0.013637,0.845603,8.549351,6.717678,-0.394281,9.160229,7.243471,1.124224,0.809917,0.809204,0.815055,0.809917
20,0.896254,0.013415,0.882838,8.910611,6.872608,-1.012978,9.079075,6.961565,-0.198475,0.791930,0.788744,0.798596,0.791930
21,0.825908,0.012594,0.813314,9.089317,7.117390,0.175455,9.396402,7.328267,-0.811244,0.803597,0.801367,0.813183,0.803597
22,0.796474,0.012341,0.784133,8.597744,6.662745,-1.791698,8.938975,6.982044,-2.185169,0.851240,0.850770,0.854753,0.851240
23,0.744386,0.011715,0.732671,7.848827,6.103586,-0.686112,8.380784,6.570017,-2.050127,0.834711,0.835334,0.850297,0.834711
24,0.755606,0.011725,0.743881,7.666643,5.921309,2.090449,7.801238,6.028135,1.900757,0.823043,0.819581,0.848260,0.823043
25,0.697826,0.010364,0.687462,7.220847,5.484685,0.871145,7.950956,6.186038,0.956011,0.861935,0.862163,0.870505,0.861935
26,0.712719,0.010741,0.701977,8.188275,6.285344,-0.853692,8.589612,6.667036,-2.585582,0.835197,0.835716,0.846781,0.835197
27,0.698306,0.010702,0.687604,7.622181,5.835008,0.334131,7.877609,6.122965,-0.297151,0.869227,0.869329,0.876666,0.869227
28,0.684809,0.011099,0.673710,8.797547,6.768475,-1.846985,8.877475,6.945892,-2.255904,0.859504,0.859468,0.868722,0.859504
29,0.648557,0.009372,0.639186,9.812449,7.571388,-3.647407,9.438720,7.414747,-2.983266,0.868255,0.867336,0.872788,0.868255
30,0.628268,0.009469,0.618799,7.898357,6.119552,-1.315935,8.695273,6.751775,-1.167360,0.871172,0.870875,0.876805,0.871172
31,0.637358,0.009156,0.628202,8.411992,6.625917,-3.872780,8.684010,6.976770,-3.923051,0.891104,0.890952,0.895200,0.891104
32,0.604219,0.009385,0.594834,8.360964,6.587401,-2.814075,8.988228,7.191132,-3.450735,0.873116,0.872454,0.883406,0.873116
33,0.601087,0.009207,0.591880,7.457176,5.844977,-1.730806,7.374561,5.756860,-1.576011,0.898882,0.899386,0.900817,0.898882
34,0.588372,0.009107,0.579265,7.419302,5.741491,-1.838528,8.381592,6.636820,-3.434351,0.864852,0.863652,0.876084,0.864852
35,0.578127,0.009529,0.568598,7.864368,6.039240,-3.406300,8.375911,6.536952,-3.994240,0.869227,0.867367,0.874063,0.869227
36,0.569238,0.009083,0.560155,7.528095,5.813951,-0.007041,7.664788,5.954646,-0.668724,0.907632,0.908226,0.912563,0.907632
37,0.561969,0.009302,0.552667,8.058818,6.295867,-0.997918,8.760959,6.947673,-1.241493,0.870685,0.869808,0.879372,0.870685
38,0.541898,0.009992,0.531907,7.664727,5.966149,-2.567809,8.311941,6.589931,-3.033923,0.900340,0.900504,0.904540,0.900340
39,0.596497,0.009552,0.586944,7.781858,5.990956,-1.462374,8.533122,6.682388,-1.992558,0.885270,0.884492,0.891992,0.885270
40,0.512798,0.007733,0.505065,7.199772,5.500636,-1.920227,7.319455,5.630739,-1.611777,0.902285,0.901608,0.911771,0.902285
41,0.449254,0.007322,0.441933,6.800352,5.124553,0.781236,7.365135,5.671571,0.924661,0.881381,0.880914,0.886827,0.881381
42,0.492522,0.008411,0.484111,7.198811,5.426989,-0.733891,7.408067,5.703716,-0.880266,0.913466,0.913519,0.918750,0.913466
43,0.523693,0.009079,0.514613,6.674104,5.132118,-2.778208,6.597918,5.108854,-2.330148,0.913952,0.912699,0.918121,0.913952
44,0.462176,0.007288,0.454888,7.779426,6.079611,-2.921114,7.652598,6.044290,-3.007472,0.921731,0.920731,0.926351,0.921731
45,0.434886,0.007255,0.427631,7.253553,5.526785,-2.873124,7.507844,5.842591,-2.997115,0.892562,0.893257,0.900699,0.892562
46,0.464961,0.007709,0.457252,7.261769,5.580066,-2.248342,7.952195,6.133107,-2.436307,0.910063,0.910453,0.915950,0.910063
47,0.466638,0.007604,0.459034,7.203414,5.536078,-1.897262,7.549290,5.898539,-1.840164,0.928537,0.928939,0.932382,0.928537
48,0.433635,0.007097,0.426538,7.007673,5.401535,-0.615857,7.532346,5.889862,-0.937104,0.894507,0.893008,0.903880,0.894507
49,0.396676,0.006941,0.389735,6.407969,4.986462,-0.640977,6.674081,5.229587,-0.701044,0.923675,0.923913,0.925771,0.923675
50,0.414093,0.006965,0.407127,8.030387,6.255482,-2.093681,8.147843,6.426845,-2.541140,0.911035,0.909588,0.917094,0.911035
51,0.418132,0.007735,0.410397,6.876937,5.241956,-1.211649,7.178963,5.607149,-1.152047,0.928537,0.928545,0.933078,0.928537
52,0.418739,0.007135,0.411604,6.534608,4.923210,0.174550,6.728324,5.124900,0.018660,0.919786,0.920230,0.924700,0.919786
53,0.397304,0.006728,0.390576,6.646812,5.078250,-1.254947,6.950648,5.316269,-1.224954,0.928051,0.928243,0.930653,0.928051
54,0.427364,0.007929,0.419435,8.163765,6.388570,-2.993819,7.874692,6.214632,-2.730387,0.931940,0.932573,0.934856,0.931940
55,0.414526,0.007274,0.407251,8.030529,6.051058,-1.398692,8.377615,6.495133,-1.478984,0.915411,0.914880,0.920331,0.915411
56,0.408765,0.006799,0.401966,6.679280,5.132962,-0.156586,7.322701,5.762045,-1.230919,0.935829,0.936197,0.938018,0.935829
57,0.391455,0.006676,0.384778,6.366203,4.852330,-0.337142,6.770503,5.296127,-1.408480,0.918814,0.919291,0.926386,0.918814
58,0.379368,0.006437,0.372932,6.967842,5.271401,0.763721,7.068352,5.396114,0.312796,0.929023,0.929953,0.937268,0.929023
59,0.377068,0.006467,0.370601,7.209646,5.549749,-2.076988,7.597808,5.819523,-2.098722,0.909091,0.910371,0.922073,0.909091
60,0.392928,0.006378,0.386550,6.822579,5.368958,-0.555003,7.101771,5.596754,-0.518419,0.936315,0.937243,0.941615,0.936315
61,0.373716,0.006533,0.367183,7.506771,5.972673,-2.576050,7.723800,6.148027,-3.229357,0.940204,0.940511,0.942709,0.940204
62,0.334132,0.006509,0.327623,6.755917,5.196153,-1.419864,6.778604,5.234171,-1.283566,0.932912,0.933329,0.934340,0.932912
63,0.310035,0.005612,0.304422,7.339897,5.742157,-2.757609,7.807387,6.160230,-2.943464,0.919300,0.919835,0.925143,0.919300
64,0.384701,0.007509,0.377191,6.130985,4.675791,0.074395,6.555098,5.103089,-0.051244,0.922217,0.922736,0.928837,0.922217
65,0.317639,0.005737,0.311901,6.847613,5.364623,-1.843774,6.856639,5.295657,-1.928094,0.927564,0.927739,0.930579,0.927564
66,0.341043,0.006564,0.334479,7.931532,6.090388,-1.066311,7.508229,5.872835,-0.748570,0.919300,0.920066,0.928404,0.919300
67,0.337500,0.005760,0.331739,6.091198,4.681699,-0.807146,6.695505,5.176577,-1.105326,0.944579,0.945509,0.949115,0.944579
68,0.331615,0.006473,0.325142,6.949916,5.373385,-1.234321,7.034825,5.402585,-0.845623,0.920272,0.921869,0.930722,0.920272
69,0.325105,0.005949,0.319156,7.140704,5.513010,-3.192872,7.421767,5.882467,-3.703324,0.904229,0.905876,0.915354,0.904229
70,0.320392,0.005459,0.314933,6.325707,4.916070,-1.496027,5.986024,4.565755,-1.111139,0.944579,0.945453,0.949115,0.944579
71,0.336884,0.005614,0.331270,7.096756,5.559850,-1.616716,7.178870,5.594206,-1.460891,0.937287,0.938059,0.940340,0.937287
72,0.314337,0.005841,0.308495,6.460785,5.128989,-2.345519,6.776802,5.360743,-2.482200,0.953330,0.953758,0.956684,0.953330
73,0.325180,0.006564,0.318615,6.519690,5.024726,-1.365306,6.933753,5.410435,-1.787593,0.938746,0.939515,0.943490,0.938746
74,0.309704,0.005785,0.303919,6.277961,4.855997,-1.621907,6.696530,5.219311,-2.370720,0.949927,0.950795,0.957581,0.949927
75,0.294861,0.005841,0.289021,5.903358,4.519179,-0.481660,5.846292,4.446947,0.255561,0.943607,0.943432,0.946415,0.943607
76,0.337721,0.006078,0.331643,6.340283,4.813104,-0.911850,6.630928,5.161765,-1.184327,0.945552,0.946811,0.952816,0.945552
77,0.283980,0.005947,0.278033,5.769160,4.390712,-0.898611,6.203955,4.761403,-1.438485,0.952844,0.953381,0.955094,0.952844
78,0.327904,0.006452,0.321451,7.376061,5.697092,-2.422929,7.622252,5.923763,-2.639666,0.929995,0.931143,0.936612,0.929995
79,0.312629,0.005981,0.306648,6.205396,4.750247,1.076677,6.485918,5.018517,0.949742,0.951386,0.951704,0.953810,0.951386
80,0.269271,0.005302,0.263969,6.636934,5.135633,-1.535610,7.589673,5.855751,-2.048699,0.946524,0.947298,0.951915,0.946524
81,0.298269,0.005201,0.293068,6.142609,4.747545,-1.669798,6.739044,5.278468,-2.206817,0.951872,0.951919,0.953424,0.951872
82,0.251161,0.005022,0.246138,6.288622,4.862645,-1.095123,6.386142,4.985388,-1.336708,0.947010,0.947366,0.948391,0.947010
83,0.285034,0.005402,0.279633,6.532768,5.010644,-1.099178,6.956613,5.293849,-1.496523,0.953816,0.954287,0.957502,0.953816
84,0.281256,0.005612,0.275644,6.022334,4.654618,0.759103,6.149862,4.806829,1.119638,0.950899,0.951430,0.954259,0.950899
85,0.278059,0.005419,0.272640,7.279489,5.686308,-1.740420,7.476546,5.901382,-2.489256,0.946038,0.946492,0.949439,0.946038
86,0.296519,0.006125,0.290394,7.430713,5.836902,-2.540860,7.648014,6.043673,-2.518423,0.937287,0.937692,0.940676,0.937287
87,0.261465,0.005071,0.256394,6.469448,4.917990,0.940124,6.560128,5.048410,0.170620,0.949441,0.949938,0.952791,0.949441
88,0.283358,0.005456,0.277902,5.913056,4.447968,-1.548686,6.269725,4.865016,-2.048277,0.947982,0.948326,0.949598,0.947982
89,0.257866,0.005192,0.252674,8.322687,6.373064,-4.396242,8.277103,6.463730,-4.367829,0.928537,0.929122,0.931170,0.928537
90,0.262691,0.005378,0.257313,6.104521,4.620457,-0.838775,6.364004,4.913164,-1.613273,0.935343,0.935586,0.941187,0.935343
91,0.259797,0.005089,0.254708,6.583304,5.008761,-1.774870,6.581404,5.068036,-1.741971,0.944579,0.945001,0.946636,0.944579
92,0.317572,0.006459,0.311113,6.690612,4.932365,0.535744,6.885044,5.150125,0.055953,0.937773,0.938969,0.942587,0.937773
93,0.254737,0.005283,0.249453,6.423697,4.754750,-0.380839,6.296297,4.681358,-0.711895,0.946524,0.947979,0.955488,0.946524
94,0.258551,0.005036,0.253515,6.119473,4.593187,-1.328196,5.872306,4.516270,-1.210866,0.954789,0.955232,0.956466,0.954789
95,0.249823,0.005519,0.244304,5.952609,4.535963,-1.085914,5.982970,4.607897,-0.984468,0.941176,0.941692,0.945762,0.941176
96,0.283796,0.005915,0.277881,6.366610,4.789025,-0.876280,6.593314,5.069674,-1.353240,0.949927,0.950718,0.954303,0.949927
97,0.249579,0.004894,0.244685,6.615095,5.081737,-2.641023,6.547669,5.058682,-2.450658,0.955761,0.957029,0.963113,0.955761
98,0.203947,0.004860,0.199086,5.873501,4.441667,-0.528209,6.658737,5.136992,-2.078853,0.953330,0.953507,0.954200,0.953330
99,0.264645,0.005026,0.259619,6.470462,5.080301,-2.231908,6.865956,5.456800,-2.821515,0.956247,0.957074,0.959973,0.956247
100,0.253083,0.005882,0.247201,7.200728,5.563781,-2.662749,6.846668,5.373094,-2.070575,0.947496,0.947703,0.948585,0.947496
