Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
1,2.142014,0.061778,2.080236,20.917504,16.495583,2.276216,20.764485,16.511158,4.943606,0.305785,0.286381,0.312831,0.305785
2,1.888050,0.043201,1.844849,17.063259,13.242121,-1.982675,16.930351,13.094999,-1.440371,0.380165,0.369465,0.386458,0.380165
3,1.763472,0.034608,1.728864,16.036274,12.381470,1.538859,16.185099,12.464048,2.695633,0.418571,0.393526,0.423149,0.418571
4,1.700318,0.034220,1.666098,16.515852,12.763724,2.038763,14.968159,11.540701,1.110663,0.468644,0.457368,0.464028,0.468644
5,1.568534,0.029632,1.538901,15.184707,11.830787,-1.183957,14.775152,11.385715,-0.566145,0.511424,0.509632,0.525832,0.511424
6,1.514705,0.026782,1.487923,14.634159,11.543781,2.480872,14.607427,11.477354,2.292415,0.544482,0.536731,0.547632,0.544482
7,1.444861,0.025705,1.419156,12.175903,9.429538,1.177479,12.411573,9.512281,0.856719,0.583860,0.574764,0.600288,0.583860
8,1.361826,0.022341,1.339486,11.801817,9.112676,0.417040,11.794863,9.169061,-1.454561,0.602333,0.597147,0.629071,0.602333
9,1.277275,0.020250,1.257026,12.938967,10.108746,3.703904,12.293154,9.235913,3.028211,0.620807,0.613865,0.646053,0.620807
10,1.232322,0.021142,1.211179,11.445139,8.496404,1.950301,11.298405,8.467130,1.259930,0.645114,0.638778,0.652449,0.645114
11,1.143707,0.017747,1.125959,10.969839,8.279342,0.398029,11.251199,8.531161,-0.179121,0.710744,0.709911,0.711427,0.710744
12,1.150814,0.018492,1.132322,11.452384,8.638891,2.394335,11.160520,8.564565,1.395807,0.704910,0.702544,0.712923,0.704910
13,1.081318,0.016307,1.065012,9.356516,7.197463,0.172462,8.983617,6.874197,0.427678,0.726300,0.721058,0.729188,0.726300
14,1.054130,0.016611,1.037520,11.130002,8.584124,-0.671428,10.845968,8.301226,-0.174626,0.732134,0.727208,0.742552,0.732134
15,1.018915,0.016967,1.001948,9.812459,7.395192,-1.585051,9.876556,7.632497,-1.836680,0.753525,0.751224,0.756864,0.753525
