Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
1,2.113851,0.054936,2.058915,18.046938,14.093299,1.314449,17.888434,14.095253,-0.444422,0.313077,0.296168,0.320632,0.313077
2,1.819316,0.034830,1.784486,15.498923,12.250977,-0.001091,16.253360,13.011704,-2.071962,0.372873,0.348183,0.394532,0.372873
3,1.685328,0.031722,1.653606,14.807463,11.709978,0.639943,14.895162,11.749857,-0.471312,0.440933,0.415307,0.445881,0.440933
4,1.570655,0.027792,1.542863,13.307470,10.468265,1.166067,13.250892,10.533246,0.362137,0.509480,0.495950,0.512248,0.509480
5,1.478938,0.024856,1.454082,12.539437,9.349965,0.225178,12.564443,9.544233,0.308297,0.537676,0.536802,0.559122,0.537676
6,1.350267,0.020498,1.329769,12.316099,9.570062,0.830422,12.011367,9.447445,-0.972865,0.610598,0.610175,0.621959,0.610598
7,1.285580,0.020273,1.265306,11.337074,8.706429,-0.742473,10.869644,8.356323,-1.208815,0.612056,0.606895,0.621018,0.612056
8,1.217751,0.019600,1.198151,10.319266,7.865945,-0.661807,10.695039,8.178871,-1.189157,0.654837,0.638817,0.675095,0.654837
9,1.139241,0.017786,1.121454,10.188662,7.812023,0.115707,10.272228,7.969358,-1.529732,0.697618,0.693370,0.708692,0.697618
10,1.090771,0.016794,1.073977,8.896333,6.899835,2.018360,8.794250,6.819160,0.627632,0.737968,0.738037,0.752568,0.737968
11,1.027305,0.016788,1.010517,9.330560,7.214794,3.099711,9.842719,7.726277,3.857721,0.752552,0.751878,0.758851,0.752552
12,0.992938,0.015051,0.977886,9.255613,7.209320,1.634933,9.190238,7.273280,0.068946,0.769081,0.768779,0.773144,0.769081
13,0.915031,0.012300,0.902731,8.313977,6.355595,1.182151,8.559771,6.618946,1.334136,0.766650,0.765028,0.784274,0.766650
14,0.912144,0.013057,0.899087,9.077009,6.859350,1.981281,9.105759,7.067788,0.960919,0.790472,0.787448,0.798677,0.790472
15,0.846225,0.011943,0.834281,8.482436,6.548687,0.096450,8.871878,6.824840,0.808572,0.796791,0.798136,0.808845,0.796791
16,0.818052,0.012567,0.805485,8.990910,6.870443,0.593786,8.982864,6.969300,-0.591332,0.820613,0.817029,0.828993,0.820613
17,0.805487,0.012012,0.793476,7.893009,6.052263,0.066609,8.129235,6.367677,0.501678,0.858046,0.857045,0.861036,0.858046
18,0.722348,0.010015,0.712333,7.587780,5.943732,-0.084171,7.507186,5.800789,-0.548929,0.857073,0.857466,0.862803,0.857073
19,0.713417,0.010203,0.703214,7.553069,5.823592,-0.113991,9.014025,6.964303,-1.501005,0.845406,0.845567,0.849433,0.845406
20,0.653397,0.009514,0.643882,9.354731,7.146404,1.898509,9.616147,7.173252,1.468896,0.804084,0.800800,0.804800,0.804084
21,0.696940,0.010695,0.686245,8.044245,6.161907,-0.590502,8.178840,6.160316,0.876453,0.882353,0.881559,0.884610,0.882353
22,0.691815,0.011080,0.680735,7.380793,5.665850,-1.616178,8.120402,6.394803,-1.895953,0.869227,0.867584,0.873164,0.869227
23,0.654955,0.009881,0.645075,7.590688,5.820025,-0.500519,7.764504,5.825028,-0.375771,0.893048,0.892077,0.896546,0.893048
24,0.583971,0.008245,0.575726,7.051975,5.340573,1.035494,7.359216,5.674416,-0.475895,0.887701,0.888323,0.893247,0.887701
25,0.600412,0.008325,0.592087,7.678087,5.877739,-0.834108,7.427944,5.695774,-0.294107,0.901799,0.901391,0.903662,0.901799
26,0.600454,0.010336,0.590118,8.803987,6.845454,-1.193850,8.312182,6.518680,0.419308,0.854643,0.853580,0.858358,0.854643
27,0.539872,0.009938,0.529934,8.018304,6.307530,0.795894,7.637403,5.857300,0.497054,0.871658,0.872356,0.877669,0.871658
28,0.585194,0.008930,0.576264,8.556819,6.781135,-0.155178,8.438155,6.568400,-0.127910,0.890131,0.890459,0.896442,0.890131
29,0.574268,0.009158,0.565110,7.837515,6.258674,-0.760971,7.494086,5.968007,0.153268,0.909577,0.910134,0.913099,0.909577
30,0.510590,0.007912,0.502678,6.816446,5.191447,-1.051504,6.959498,5.232223,-0.995908,0.915411,0.915048,0.917803,0.915411
31,0.507564,0.008160,0.499404,7.909305,6.159611,-2.028929,8.689083,6.699353,-2.570519,0.916869,0.917400,0.920305,0.916869
32,0.531127,0.008179,0.522948,7.484537,5.872046,0.631904,7.278014,5.641363,1.040433,0.915897,0.914675,0.915080,0.915897
33,0.467477,0.008106,0.459372,7.043144,5.467657,-0.724505,6.792048,5.296312,-0.263221,0.923675,0.923681,0.924416,0.923675
34,0.483343,0.008259,0.475085,6.863580,5.305651,0.062994,6.729293,5.201442,-0.362040,0.911522,0.911518,0.912583,0.911522
35,0.469383,0.007081,0.462302,6.650249,5.039814,-0.016537,6.695203,5.106140,0.047170,0.916383,0.916865,0.920277,0.916383
36,0.543247,0.008602,0.534645,7.227659,5.550028,1.672920,7.549181,5.807173,1.562733,0.920758,0.920897,0.923719,0.920758
37,0.404077,0.007829,0.396247,6.212474,4.699720,0.660941,6.213117,4.813630,0.405820,0.936315,0.936780,0.940162,0.936315
38,0.416225,0.007906,0.408319,6.287782,4.836635,-0.225086,6.562505,5.048259,-0.350581,0.933398,0.933803,0.937353,0.933398
39,0.450219,0.007454,0.442765,6.821368,5.280385,1.207332,7.609375,5.934805,1.831803,0.927078,0.926648,0.927733,0.927078
40,0.470385,0.007815,0.462571,7.958528,6.272236,-4.097060,7.594946,6.037346,-3.501509,0.907632,0.907189,0.909372,0.907632
41,0.401466,0.007123,0.394344,6.234214,4.795807,0.269038,6.409568,4.953082,0.289499,0.937773,0.938145,0.939494,0.937773
42,0.441828,0.007627,0.434202,7.320803,5.649517,-0.908478,7.095526,5.501618,-1.002936,0.934370,0.934686,0.937185,0.934370
43,0.362893,0.006513,0.356380,6.625985,5.042372,0.234771,6.452747,4.842885,0.899255,0.924648,0.924897,0.928482,0.924648
44,0.379548,0.006032,0.373516,6.677885,5.220715,-0.276745,6.839466,5.335798,-0.571228,0.935343,0.935867,0.938662,0.935343
45,0.364892,0.007051,0.357841,6.648539,5.008028,0.207247,6.679525,5.037711,0.506570,0.933884,0.934140,0.937091,0.933884
46,0.358696,0.006060,0.352636,6.022461,4.570719,-0.250266,6.185692,4.756341,-0.130346,0.938260,0.938570,0.939540,0.938260
47,0.357665,0.006166,0.351499,7.368289,5.749825,-2.774242,7.622990,6.020244,-2.808281,0.924648,0.925025,0.927810,0.924648
48,0.408249,0.007344,0.400905,6.629724,5.051277,0.358386,6.876900,5.289108,0.448907,0.917842,0.917960,0.921052,0.917842
49,0.389564,0.006598,0.382965,6.061241,4.610706,-0.792998,6.139171,4.715661,-0.207252,0.940204,0.940485,0.941916,0.940204
50,0.329280,0.005582,0.323699,6.227693,4.635212,0.169814,6.087239,4.614538,0.411811,0.926592,0.926583,0.929099,0.926592
51,0.367655,0.005979,0.361676,6.074630,4.594841,0.224389,5.997573,4.565158,0.305385,0.943607,0.943900,0.944724,0.943607
52,0.343760,0.006200,0.337559,6.990707,5.289948,2.085008,6.731081,5.163754,1.799520,0.940690,0.941068,0.942353,0.940690
53,0.330455,0.005671,0.324784,6.051791,4.609705,-0.472002,6.198334,4.726943,-1.064444,0.932426,0.933019,0.937374,0.932426
54,0.372938,0.006576,0.366362,6.402455,4.833323,1.237700,6.199226,4.620396,0.778716,0.940690,0.941041,0.942801,0.940690
55,0.311701,0.005832,0.305870,6.055382,4.641877,-0.361569,6.133914,4.676167,-0.228520,0.952844,0.953637,0.955937,0.952844
56,0.326443,0.005881,0.320562,5.774444,4.386222,-0.741610,5.934584,4.487584,-0.636695,0.952844,0.953019,0.955786,0.952844
57,0.336996,0.005870,0.331126,5.822409,4.413588,-0.124943,6.435429,4.912194,0.424935,0.951386,0.951993,0.954820,0.951386
58,0.300566,0.005761,0.294805,6.203592,4.723513,-0.445494,6.272532,4.768384,-0.501721,0.947496,0.947956,0.950857,0.947496
59,0.299194,0.006461,0.292733,6.411685,4.959615,-2.303396,6.373983,4.951182,-2.052723,0.952358,0.952373,0.953273,0.952358
60,0.291995,0.006250,0.285745,5.948612,4.466187,1.043910,5.857886,4.437787,0.954426,0.949927,0.950413,0.953754,0.949927
61,0.310637,0.006039,0.304599,6.589609,4.942990,0.128830,6.776797,5.183420,0.813565,0.951386,0.951904,0.954984,0.951386
62,0.338086,0.005783,0.332303,6.241525,4.700397,0.657122,6.592102,5.042078,0.351234,0.949441,0.950080,0.952911,0.949441
63,0.350713,0.006627,0.344086,6.212135,4.769504,-1.618330,6.121674,4.750039,-1.794195,0.949927,0.950255,0.951792,0.949927
64,0.337547,0.006917,0.330630,6.402451,4.966703,-0.571182,6.086069,4.684018,-0.444154,0.957219,0.958112,0.961788,0.957219
65,0.289449,0.006030,0.283418,6.070892,4.564979,-1.158352,6.094413,4.578725,-0.720288,0.951386,0.951702,0.956354,0.951386
66,0.265140,0.005446,0.259694,6.538114,5.067007,-2.206058,6.254054,4.844405,-2.238293,0.953330,0.953323,0.954476,0.953330
67,0.256984,0.006254,0.250730,5.786059,4.290108,0.723868,5.814255,4.381602,0.958182,0.950899,0.951324,0.953515,0.950899
68,0.279438,0.005209,0.274230,5.635380,4.251081,-1.210595,5.718941,4.280659,-1.144521,0.956247,0.956426,0.957112,0.956247
69,0.314834,0.005656,0.309178,6.104860,4.655792,-0.549442,6.279847,4.757325,0.102305,0.952844,0.953018,0.954213,0.952844
70,0.299624,0.005579,0.294045,6.228874,4.753530,2.027359,6.324872,4.841624,1.852679,0.954302,0.954488,0.957103,0.954302
71,0.306206,0.005234,0.300972,6.223219,4.758651,-0.003335,6.259929,4.766630,0.087961,0.946524,0.946740,0.950218,0.946524
72,0.261003,0.005568,0.255435,5.653064,4.271592,0.323674,5.815731,4.420197,0.270907,0.955275,0.955180,0.956133,0.955275
73,0.256590,0.005149,0.251441,5.753395,4.434728,0.197287,5.755584,4.404188,0.013348,0.957219,0.957326,0.959369,0.957219
74,0.269319,0.005648,0.263671,6.106938,4.566181,0.452300,6.289889,4.696263,1.098657,0.957219,0.957676,0.958719,0.957219
75,0.246500,0.005458,0.241042,6.004852,4.569903,0.324383,5.848375,4.434784,0.120417,0.951386,0.951600,0.955326,0.951386
76,0.248452,0.004942,0.243510,6.065360,4.566104,0.205135,6.044437,4.551549,-0.177613,0.941663,0.941796,0.942809,0.941663
77,0.240575,0.005404,0.235171,5.652872,4.315305,-1.111888,5.610808,4.280840,-0.898829,0.955275,0.955595,0.957126,0.955275
78,0.245318,0.005028,0.240290,5.555097,4.112038,0.114583,5.654841,4.234075,-0.038443,0.952844,0.953109,0.954587,0.952844
79,0.259734,0.005285,0.254449,5.767905,4.394251,0.199593,5.700951,4.318080,0.628468,0.956247,0.956620,0.957996,0.956247
80,0.285333,0.005651,0.279682,5.900164,4.430426,-0.725368,5.787485,4.365790,-0.605749,0.959164,0.959225,0.959824,0.959164
81,0.270234,0.005549,0.264685,5.659384,4.160602,0.051064,5.604647,4.139928,-0.292440,0.951386,0.951314,0.951704,0.951386
82,0.307743,0.006702,0.301041,6.769741,5.042467,-2.458865,6.484894,4.879906,-1.773115,0.954302,0.954378,0.957395,0.954302
83,0.221088,0.006334,0.214754,5.936608,4.526313,-1.452788,5.963813,4.589885,-1.601242,0.958678,0.958698,0.960515,0.958678
84,0.215234,0.004630,0.210603,5.563246,4.153667,-0.744404,5.447129,4.106151,-0.760144,0.955275,0.955302,0.955673,0.955275
85,0.212233,0.004966,0.207268,5.816886,4.489436,-1.077140,5.970421,4.625704,-0.922625,0.958192,0.958463,0.959540,0.958192
86,0.245510,0.005324,0.240187,5.878483,4.456107,0.088906,5.799783,4.424701,-0.696758,0.961108,0.961746,0.964413,0.961108
