Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
1,2.284190,0.084210,2.199980,25.046641,19.866823,3.847513,24.991861,20.083290,1.691919,0.290228,0.262437,0.287426,0.290228
2,1.979290,0.056835,1.922455,17.466191,13.873615,-1.702404,17.774540,14.265512,-1.325649,0.369956,0.364007,0.392547,0.369956
3,1.771633,0.040522,1.731111,17.688015,13.874693,-6.077891,18.698875,15.085823,-7.089630,0.412251,0.402507,0.437241,0.412251
4,1.633520,0.034957,1.598562,16.020599,12.261180,4.714348,15.275622,11.688314,5.698548,0.479825,0.480210,0.503595,0.479825
5,1.527620,0.031360,1.496260,13.849523,10.612973,0.219927,13.159895,10.253660,-1.866984,0.510452,0.495480,0.512613,0.510452
6,1.455080,0.028305,1.426775,13.778863,10.816374,4.367736,13.121741,10.265339,3.275377,0.545941,0.520681,0.549810,0.545941
7,1.408531,0.025652,1.382878,12.475336,9.572581,-0.699601,11.550821,8.848653,-0.943766,0.582888,0.567056,0.576804,0.582888
8,1.273597,0.021375,1.252222,12.412192,9.253249,4.944811,12.604661,9.591025,5.035905,0.627127,0.628256,0.648204,0.627127
9,1.242552,0.021775,1.220777,11.552261,9.162224,-0.184318,10.551249,8.167694,1.014173,0.632961,0.634802,0.658069,0.632961
10,1.199370,0.020466,1.178904,11.203298,8.858136,-0.835245,10.321983,8.097440,-0.281103,0.670880,0.660306,0.679106,0.670880
11,1.131589,0.018282,1.113306,9.245843,7.038095,-0.031350,9.416267,7.227595,1.270475,0.686437,0.682395,0.690371,0.686437
12,1.121218,0.019280,1.101938,9.712956,7.554622,0.935258,9.727563,7.560618,-1.177522,0.745746,0.741513,0.759995,0.745746
13,1.060357,0.016988,1.043369,11.942681,9.399590,-5.620486,11.588946,9.164750,-5.788368,0.737968,0.731432,0.736641,0.737968
14,1.050236,0.016765,1.033472,10.140926,7.625520,-1.276466,9.792425,7.493655,-0.027268,0.747691,0.741739,0.762367,0.747691
15,0.941110,0.014183,0.926927,9.405009,7.232950,1.479731,9.789678,7.746873,2.131127,0.730676,0.723430,0.740380,0.730676
16,0.916142,0.013968,0.902174,8.889894,6.769516,1.139899,8.212424,6.146548,0.653835,0.783179,0.777051,0.784789,0.783179
17,0.892192,0.013482,0.878710,8.628987,6.786992,-0.249085,8.317689,6.523956,-0.901261,0.815265,0.812364,0.818045,0.815265
18,0.890104,0.012306,0.877798,9.010809,6.687643,2.877577,8.834672,6.751551,3.474260,0.757414,0.749099,0.773955,0.757414
19,0.824128,0.011439,0.812689,8.655640,6.833038,-0.224396,8.071333,6.281544,0.258810,0.817210,0.817784,0.836174,0.817210
20,0.823650,0.012641,0.811010,9.600782,7.504137,1.863348,8.936012,7.026607,0.743425,0.792416,0.789907,0.801927,0.792416
21,0.811328,0.012414,0.798915,9.566260,7.585506,-3.164388,8.958190,7.197955,-3.469956,0.821585,0.820677,0.837054,0.821585
22,0.818376,0.012829,0.805548,8.469768,6.538350,-0.085050,7.789264,6.061072,-1.022507,0.855129,0.853616,0.856096,0.855129
23,0.747546,0.010343,0.737203,8.034973,6.124734,-1.506652,7.630896,5.873516,-0.537832,0.858046,0.858112,0.860928,0.858046
24,0.733821,0.010329,0.723492,7.603965,5.732845,0.335872,7.580844,5.731899,0.759406,0.835197,0.832336,0.835580,0.835197
25,0.691765,0.010488,0.681277,8.267322,6.368182,1.810347,7.554237,5.772788,1.084583,0.815265,0.811866,0.819263,0.815265
26,0.725401,0.010196,0.715205,9.063127,6.818015,-1.713688,8.540664,6.448881,-1.647115,0.869713,0.867597,0.874046,0.869713
27,0.661839,0.009984,0.651856,7.893902,5.992323,0.931186,7.906681,6.082850,1.310943,0.861935,0.862158,0.868926,0.861935
28,0.670438,0.009908,0.660530,7.337111,5.631034,0.258271,7.387139,5.699153,-0.773346,0.871658,0.871387,0.878645,0.871658
29,0.650007,0.010247,0.639759,7.830719,5.969867,-0.971186,7.753076,5.914217,-0.351029,0.885756,0.886553,0.891792,0.885756
30,0.646295,0.011192,0.635103,8.377436,6.551863,1.590141,8.248427,6.393154,2.134750,0.858046,0.851931,0.877548,0.858046
31,0.647352,0.010124,0.637228,8.201695,6.194814,1.446996,7.499785,5.773747,0.640193,0.828391,0.826703,0.829966,0.828391
