Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
46,0.481513,0.008004,0.473509,7.382473,5.652360,-0.707092,7.554341,5.873753,-1.231221,0.921245,0.920992,0.921375,0.921245
47,0.477960,0.008055,0.469905,6.872201,5.115354,-0.801805,6.866186,5.190105,-0.712435,0.926592,0.926262,0.927088,0.926592
48,0.407178,0.006469,0.400710,6.496495,4.976714,-0.984805,6.473699,5.034214,-1.189532,0.926106,0.926381,0.932635,0.926106
49,0.440064,0.006041,0.434023,7.373728,5.487910,-1.784684,7.469422,5.572989,-1.664421,0.934370,0.934808,0.937136,0.934370
50,0.435838,0.006862,0.428975,6.684507,5.081935,-2.267418,6.714245,5.183668,-2.134800,0.912980,0.913399,0.916120,0.912980
51,0.460217,0.007025,0.453191,7.211929,5.566872,-1.784892,7.312758,5.707642,-1.754397,0.863393,0.863233,0.872550,0.863393
52,0.426306,0.006449,0.419857,6.172563,4.667628,0.452951,6.331391,4.786226,0.536472,0.908605,0.909196,0.915279,0.908605
53,0.423482,0.007098,0.416384,6.403949,4.838565,-0.308590,6.755647,5.183947,-1.004414,0.934857,0.934774,0.936412,0.934857
54,0.435632,0.006574,0.429058,6.246602,4.698180,-0.300507,6.250939,4.753899,-0.679962,0.929995,0.930498,0.935630,0.929995
55,0.425176,0.006908,0.418267,7.881172,6.018075,-1.682691,6.778188,5.303391,-1.145859,0.917355,0.917797,0.923805,0.917355
56,0.431002,0.006863,0.424139,6.992320,5.407159,-1.520556,7.026684,5.519093,-2.106608,0.918814,0.918627,0.926184,0.918814
57,0.414487,0.006412,0.408075,7.220594,5.435844,-2.042287,7.742459,5.921379,-2.919319,0.906660,0.907341,0.912559,0.906660
58,0.376612,0.006519,0.370093,7.115225,5.336107,-1.770975,7.429472,5.657195,-1.905270,0.925620,0.926174,0.929414,0.925620
59,0.396143,0.006128,0.390016,6.024270,4.568266,-0.318166,6.244109,4.778695,0.410985,0.942635,0.943193,0.949173,0.942635
60,0.408311,0.007083,0.401228,6.096217,4.548664,1.319367,6.480511,4.889465,1.261742,0.936315,0.936627,0.937801,0.936315
61,0.385029,0.006631,0.378398,6.294985,4.723849,-1.217727,6.681751,5.102845,-1.595131,0.940690,0.941096,0.944316,0.940690
62,0.386578,0.006452,0.380126,6.437597,4.925286,-0.924612,6.659532,5.171970,-1.610767,0.933884,0.934404,0.935980,0.933884
63,0.379643,0.005935,0.373709,7.407176,5.436555,-2.474490,7.279420,5.459092,-2.390921,0.936315,0.936645,0.940882,0.936315
64,0.378710,0.006258,0.372451,6.599431,4.901945,-0.950478,6.713246,5.115622,-1.849410,0.940690,0.941412,0.946928,0.940690
65,0.382433,0.006070,0.376363,6.743078,5.214646,-1.785166,7.052849,5.481126,-2.519567,0.928537,0.929156,0.935198,0.928537
66,0.344690,0.006202,0.338488,6.058586,4.639528,-0.141096,6.169707,4.728043,-0.556769,0.945552,0.946136,0.947899,0.945552
67,0.345974,0.005841,0.340133,6.619807,5.054828,-2.126551,7.125343,5.512472,-2.869708,0.909577,0.909999,0.912843,0.909577
68,0.346214,0.005632,0.340582,5.997488,4.535446,-0.568169,6.328076,4.816221,0.168400,0.932426,0.932786,0.936523,0.932426
69,0.340100,0.005562,0.334538,6.775454,5.196888,1.281173,6.747237,5.217461,1.539689,0.932426,0.932765,0.938606,0.932426
70,0.297057,0.005690,0.291367,6.173669,4.764576,0.287691,6.493557,5.028898,0.177985,0.923675,0.924185,0.926465,0.923675
71,0.328064,0.005308,0.322755,5.873867,4.363540,-0.104362,6.053047,4.547168,0.170766,0.923189,0.923036,0.929282,0.923189
72,0.338857,0.005318,0.333539,6.027974,4.559620,-1.467935,6.130195,4.682604,-1.538846,0.935829,0.936708,0.943126,0.935829
73,0.315980,0.005329,0.310651,7.342465,5.713955,-2.748271,7.314868,5.775516,-2.245099,0.940690,0.941182,0.942425,0.940690
