Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
1,2.211624,0.080436,2.131188,21.143462,16.493414,3.747502,21.185184,16.764959,1.521156,0.280506,0.252553,0.282511,0.280506
2,1.902064,0.049205,1.852859,18.657225,14.736960,-2.398696,18.670591,14.804536,0.281261,0.372387,0.347335,0.383557,0.372387
3,1.769953,0.041817,1.728136,16.091805,12.227496,0.209466,15.732288,12.017190,1.791717,0.418085,0.394669,0.427615,0.418085
4,1.636427,0.035899,1.600529,14.291976,11.020980,0.997141,15.423811,12.016421,2.792873,0.458921,0.437974,0.474559,0.458921
5,1.541246,0.031764,1.509482,14.048151,10.726469,2.373819,14.266954,10.956941,1.768815,0.527953,0.519331,0.555833,0.527953
6,1.451786,0.029137,1.422649,13.166819,10.091990,0.847839,13.322709,10.151377,2.366782,0.556150,0.546841,0.573194,0.556150
7,1.409082,0.027935,1.381147,11.689226,8.838205,-0.560762,11.596369,8.887245,-0.296071,0.595527,0.588905,0.603072,0.595527
8,1.301479,0.023986,1.277492,10.932642,8.252941,0.652183,11.922757,8.686765,1.827789,0.618376,0.599845,0.621349,0.618376
9,1.213690,0.018738,1.194952,11.743300,8.958934,-1.206337,11.550571,8.828896,-1.162646,0.653865,0.652468,0.670385,0.653865
10,1.190650,0.021200,1.169450,10.857369,8.079726,0.836044,10.492017,8.009845,1.047643,0.649976,0.648085,0.658749,0.649976
11,1.145419,0.019060,1.126360,10.263172,7.883653,-0.079038,10.627866,8.340206,-0.550920,0.686437,0.680389,0.711158,0.686437
12,1.105866,0.018199,1.087667,10.713925,8.202862,-3.099611,10.657153,8.141077,-2.797246,0.710744,0.704112,0.716277,0.710744
13,1.061703,0.015747,1.045956,10.440108,7.850750,-0.398590,10.589537,8.118783,-0.480704,0.720953,0.716346,0.735510,0.720953
14,1.040023,0.017304,1.022718,9.693343,7.361499,-1.014885,9.554606,7.257594,0.953435,0.707341,0.696605,0.716166,0.707341
15,1.003923,0.016297,0.987626,10.317701,7.955249,-1.113808,10.332621,8.132661,-0.277691,0.752552,0.747876,0.756581,0.752552
16,0.967773,0.015064,0.952708,8.951002,6.799931,-0.134485,9.083409,6.958803,-0.794794,0.738940,0.737609,0.760769,0.738940
17,0.947323,0.014867,0.932456,9.380649,7.304425,1.489146,10.727150,7.930506,0.645547,0.737482,0.731871,0.746977,0.737482
18,0.929847,0.014519,0.915328,9.094863,7.095566,-2.304588,9.423094,7.309171,-3.144317,0.786096,0.782461,0.782387,0.786096
19,0.879574,0.013292,0.866282,10.376705,8.385173,-5.491337,10.716753,8.684785,-4.058208,0.788527,0.783327,0.801728,0.788527
20,0.864782,0.013821,0.850961,8.307716,6.292711,-1.402934,8.530673,6.327912,-0.418054,0.812348,0.807539,0.820672,0.812348
21,0.869071,0.012826,0.856245,8.493148,6.354146,1.618160,9.125275,6.776146,2.911220,0.810890,0.809082,0.819632,0.810890
22,0.822197,0.011664,0.810533,8.341539,6.394979,-1.691212,9.187835,6.752641,-1.339755,0.833738,0.833867,0.839005,0.833738
23,0.789631,0.012366,0.777265,7.920722,5.984134,-0.373915,7.982333,6.070413,0.474407,0.834225,0.835001,0.841695,0.834225
24,0.761284,0.011527,0.749757,8.391120,6.426698,-0.489726,8.576323,6.687619,-0.864378,0.828391,0.829134,0.841071,0.828391
25,0.749399,0.011707,0.737693,8.495124,6.360107,-0.147039,9.210184,6.932549,-0.953218,0.853184,0.851446,0.859185,0.853184
26,0.673022,0.010289,0.662733,7.735884,5.865061,-0.973098,8.118933,6.260238,-1.717068,0.841031,0.840390,0.854615,0.841031
27,0.708921,0.009853,0.699068,7.801634,5.962854,-0.889171,8.281961,6.274144,-0.111622,0.848323,0.848385,0.852915,0.848323
28,0.692315,0.009667,0.682648,7.922693,6.004738,2.192291,8.265342,6.342050,2.730916,0.818182,0.815960,0.838386,0.818182
29,0.671967,0.010285,0.661682,8.893988,6.728309,-2.178410,8.855853,6.766208,-1.812479,0.828391,0.826255,0.835246,0.828391
30,0.625246,0.009506,0.615739,6.984358,5.309202,-0.184068,7.407553,5.735288,0.566756,0.878464,0.879427,0.887437,0.878464
31,0.644469,0.009512,0.634957,8.623845,6.523049,-1.809492,9.726198,6.815786,-1.436880,0.848323,0.848632,0.853357,0.848323
32,0.683456,0.012511,0.670945,8.724554,6.774665,-2.578041,8.839988,6.822680,-2.041383,0.882839,0.882381,0.885499,0.882839
33,0.586453,0.008692,0.577761,7.091656,5.366004,-1.004372,7.368511,5.664315,-1.301752,0.874088,0.873058,0.880013,0.874088
34,0.586940,0.008432,0.578508,7.457721,5.805559,-2.692766,7.420344,5.725103,-1.896002,0.878950,0.878913,0.881556,0.878950
35,0.600129,0.008740,0.591389,7.660352,6.021103,-2.320077,8.012029,6.232810,-1.864054,0.877978,0.877620,0.890079,0.877978
36,0.554673,0.008916,0.545757,8.613966,6.617671,-3.875676,8.708409,6.832469,-4.187320,0.875061,0.874241,0.880403,0.875061
37,0.582216,0.008718,0.573498,7.708797,5.862671,-1.772866,8.494343,6.455275,-2.632021,0.909577,0.910007,0.913795,0.909577
38,0.551215,0.008479,0.542735,9.504635,7.395571,-2.910362,9.694886,7.725902,-2.790228,0.882839,0.882937,0.888989,0.882839
39,0.529864,0.008427,0.521437,7.049940,5.245567,-1.079398,6.748299,5.107776,-0.497276,0.904229,0.904527,0.905917,0.904229
40,0.583058,0.008501,0.574557,7.461206,5.502539,-0.725603,7.998794,6.126273,-1.432317,0.907146,0.906809,0.912170,0.907146
