Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
1,2.238807,0.078812,2.159995,22.170232,17.917276,-0.276616,25.867221,20.870955,-1.503212,0.297521,0.267596,0.310251,0.297521
2,1.904587,0.047741,1.856846,16.038220,12.622187,1.735617,18.043822,14.382712,-0.651933,0.392319,0.384924,0.397670,0.392319
3,1.707520,0.035648,1.671873,13.869952,10.627527,-1.228095,14.027327,10.658171,-0.219188,0.448226,0.429440,0.460342,0.448226
4,1.607316,0.032705,1.574612,13.537572,10.481266,-2.871329,14.431279,11.190784,-2.197756,0.491979,0.479610,0.524834,0.491979
5,1.535948,0.028841,1.507107,12.412642,9.555456,0.649318,13.848363,10.959963,-0.476494,0.537676,0.528014,0.553609,0.537676
6,1.409154,0.024719,1.384435,11.715558,8.981371,1.184583,12.408079,9.647623,-0.312137,0.563928,0.552694,0.585157,0.563928
7,1.366486,0.023180,1.343307,11.185782,8.630035,-0.979570,11.524131,8.806452,-1.057428,0.584832,0.575790,0.619459,0.584832
8,1.252872,0.020084,1.232789,12.173480,9.340734,-1.547530,12.003914,9.433444,-0.027615,0.644628,0.640649,0.665566,0.644628
9,1.183261,0.019295,1.163966,13.396074,10.673979,-1.980664,11.939430,9.096530,-0.559773,0.681575,0.670710,0.689884,0.681575
10,1.209734,0.020245,1.189489,10.067225,7.691068,-0.279148,10.573229,8.029463,-1.200392,0.687409,0.682426,0.700441,0.687409
11,1.098770,0.017197,1.081573,10.731054,8.080185,1.706756,11.559584,9.160747,-2.225213,0.683520,0.681083,0.695902,0.683520
12,1.091975,0.017077,1.074898,10.127500,7.762372,-1.035486,9.971588,7.612447,-2.112844,0.734565,0.731042,0.739877,0.734565
13,1.022781,0.014901,1.007880,9.987902,7.827253,-0.184714,10.382457,8.123899,-1.887317,0.766650,0.765863,0.771613,0.766650
14,0.982994,0.013740,0.969255,9.352532,7.006728,2.700027,9.907982,7.442835,1.412458,0.743802,0.747305,0.756126,0.743802
15,0.982471,0.014162,0.968309,9.189155,7.235281,-2.552629,8.932007,7.065990,-2.490886,0.778804,0.775098,0.789685,0.778804
16,0.958328,0.015417,0.942911,11.157141,8.782344,-1.314152,10.613099,8.322591,-0.179489,0.801653,0.802599,0.806943,0.801653
17,0.953752,0.015248,0.938504,9.734302,7.669385,-0.517499,10.114625,7.792371,0.866111,0.776373,0.775836,0.782071,0.776373
18,0.852222,0.012701,0.839522,8.101940,6.248033,0.013245,8.041626,6.178358,0.419384,0.800681,0.799239,0.820971,0.800681
19,0.846938,0.012803,0.834136,7.702195,5.892966,0.622980,8.319385,6.196922,1.445854,0.823043,0.820926,0.828800,0.823043
