Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
1,2.171402,0.062659,2.108743,19.783296,15.846496,4.161200,20.382787,16.233181,2.496105,0.324259,0.314183,0.327117,0.324259
2,1.870904,0.040400,1.830504,16.034312,12.615541,0.908582,16.042978,12.708213,0.176238,0.385999,0.376042,0.387904,0.385999
3,1.734357,0.034964,1.699393,15.903315,12.356181,1.159103,16.002541,12.610624,2.233085,0.441420,0.430678,0.455565,0.441420
4,1.624769,0.030258,1.594511,15.037076,11.664027,1.461714,15.708977,12.419387,1.896682,0.471561,0.458788,0.484911,0.471561
5,1.536754,0.028465,1.508289,13.155683,10.202206,3.498878,13.944710,10.982947,5.093434,0.527953,0.523785,0.525348,0.527953
6,1.495574,0.026791,1.468783,11.938234,9.218640,1.368406,12.755808,9.850436,1.364158,0.561011,0.551724,0.560652,0.561011
7,1.400042,0.024023,1.376019,13.495390,10.505400,3.431041,13.419818,10.454817,2.562130,0.590666,0.586177,0.600577,0.590666
8,1.335050,0.023116,1.311935,12.668523,9.616621,1.352071,12.785310,9.885836,1.823953,0.614973,0.616919,0.648356,0.614973
9,1.281200,0.020985,1.260215,11.121275,8.567173,0.532771,12.550274,9.943884,-0.050034,0.628585,0.626947,0.645203,0.628585
10,1.193422,0.018904,1.174517,11.142915,8.586759,0.344709,11.925568,9.255999,-0.139532,0.661157,0.662261,0.676029,0.661157
11,1.183290,0.018781,1.164509,11.003822,8.515729,2.613741,10.660545,8.261178,1.802124,0.702965,0.700009,0.706876,0.702965
12,1.113711,0.016279,1.097432,10.538235,8.355680,2.877608,10.897309,8.512157,3.206849,0.716578,0.717321,0.725638,0.716578
13,1.099577,0.016432,1.083145,11.735117,8.859054,4.395334,11.540077,8.787539,3.754258,0.719008,0.714553,0.732761,0.719008
14,1.084605,0.015740,1.068865,10.634473,8.089641,1.206687,10.542722,8.074880,0.937612,0.728245,0.724427,0.737460,0.728245
15,1.008561,0.015189,0.993372,10.445105,8.077926,0.576547,10.175571,8.049834,1.003575,0.741371,0.741628,0.744860,0.741371
16,1.034405,0.015977,1.018428,10.458836,7.788706,1.294075,10.073603,7.600825,0.850433,0.771512,0.769351,0.781914,0.771512
17,0.982243,0.015370,0.966873,9.766831,7.519830,1.579065,9.304857,7.151411,0.762760,0.767623,0.764808,0.768252,0.767623
18,0.910492,0.013159,0.897333,9.380852,7.266818,2.471813,10.300588,8.069239,2.884981,0.791444,0.791279,0.794215,0.791444
19,0.889520,0.013299,0.876221,8.972914,6.935899,-0.597607,8.773027,6.998858,-1.364715,0.795819,0.793856,0.801398,0.795819
20,0.905084,0.013302,0.891782,9.699845,7.379828,0.320097,9.481465,7.357697,0.123757,0.790472,0.786298,0.797868,0.790472
21,0.839299,0.012425,0.826874,9.206345,7.219628,-0.008780,9.243545,7.139441,0.451352,0.809431,0.807347,0.813583,0.809431
22,0.841041,0.012486,0.828555,9.125894,7.074529,1.007365,8.867904,6.869566,0.204151,0.847351,0.847174,0.853462,0.847351
23,0.805121,0.012776,0.792346,8.839072,6.710557,1.320425,9.090078,6.934050,2.075742,0.816237,0.812537,0.818758,0.816237
24,0.786765,0.011254,0.775510,9.537499,7.531487,-2.497304,9.396490,7.350808,-1.723351,0.820126,0.817761,0.826729,0.820126
25,0.754399,0.010626,0.743772,8.645920,6.570403,-1.163109,8.449058,6.385880,-1.273788,0.850267,0.850685,0.858066,0.850267
26,0.769952,0.011685,0.758268,8.648395,6.534816,-1.352313,8.520377,6.438288,-0.613153,0.839572,0.839781,0.847688,0.839572
27,0.741125,0.010735,0.730389,8.418974,6.376756,0.912817,8.727976,6.655607,0.209778,0.845892,0.845212,0.854091,0.845892
28,0.748776,0.012037,0.736739,8.095985,6.161394,0.968798,8.346882,6.381368,1.493212,0.839086,0.836430,0.846531,0.839086
29,0.698358,0.010077,0.688280,9.264471,7.070507,2.394879,9.457992,7.427548,2.772529,0.842489,0.843796,0.858706,0.842489
30,0.667097,0.009216,0.657880,9.171412,6.948396,1.506077,9.047619,6.930196,1.807470,0.841031,0.840637,0.854026,0.841031
31,0.666541,0.009382,0.657158,8.387929,6.532980,-1.788741,8.658043,6.847780,-2.144521,0.880895,0.881558,0.884478,0.880895
32,0.702958,0.010679,0.692279,8.345633,6.589542,0.743593,8.317626,6.527704,0.670765,0.875061,0.876087,0.884731,0.875061
33,0.659864,0.009228,0.650636,7.558566,5.788485,1.012900,7.497022,5.789970,0.310170,0.883811,0.883695,0.886028,0.883811
34,0.642291,0.009204,0.633087,7.756737,5.830057,0.250078,7.752902,5.924739,0.193662,0.885270,0.885352,0.889006,0.885270
35,0.662200,0.009360,0.652840,7.482823,5.809861,0.192064,7.322661,5.666120,0.248417,0.871658,0.871162,0.879769,0.871658
36,0.641264,0.010318,0.630946,8.147854,6.204934,-1.167511,7.775377,5.984626,-1.248047,0.887214,0.887430,0.894093,0.887214
37,0.612819,0.008513,0.604305,8.365662,6.451864,-0.181131,8.717733,6.851967,-0.559210,0.873116,0.873056,0.876207,0.873116
38,0.591826,0.009016,0.582810,7.730484,5.974886,0.820136,7.974774,6.200890,0.080606,0.884298,0.884255,0.888288,0.884298
39,0.581501,0.008924,0.572578,8.483441,6.589830,-2.851443,7.992020,6.261213,-1.944291,0.878950,0.876598,0.882469,0.878950
40,0.583265,0.008328,0.574937,7.751892,6.015185,-2.630160,7.512463,5.818779,-1.971421,0.897910,0.898396,0.903454,0.897910
41,0.539266,0.008094,0.531173,8.605347,6.772089,-2.682367,8.400058,6.579563,-2.278890,0.879922,0.880349,0.884070,0.879922
42,0.607702,0.008889,0.598813,8.244790,6.335120,-0.291763,8.193869,6.211617,0.551964,0.873602,0.872441,0.879511,0.873602
43,0.561891,0.009395,0.552496,7.733258,5.942343,-0.312542,7.579464,5.801544,0.003059,0.887701,0.886647,0.892605,0.887701
