Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
1,2.240246,0.086069,2.154177,23.399939,19.282314,0.646733,25.178491,20.863838,-1.848890,0.268838,0.237047,0.287734,0.268838
2,1.917841,0.048425,1.869416,20.386697,16.348701,-3.129566,20.980094,16.783430,-3.436356,0.356344,0.346164,0.403389,0.356344
3,1.764017,0.039528,1.724488,17.031183,12.572094,3.966748,16.345320,12.036774,2.263377,0.421974,0.405053,0.448193,0.421974
4,1.633161,0.034137,1.599023,17.001491,13.194859,-1.612651,16.267405,12.390155,-1.024151,0.438989,0.424336,0.483449,0.438989
5,1.556291,0.032049,1.524243,14.501685,10.848662,3.505941,14.106858,10.511605,2.531289,0.511911,0.496508,0.559513,0.511911
6,1.455039,0.027111,1.427928,12.685342,9.418176,1.566382,12.911041,9.731702,1.373342,0.568303,0.560829,0.567887,0.568303
7,1.400772,0.024427,1.376345,12.488045,9.348141,2.814978,12.873922,9.701771,2.691060,0.559067,0.546781,0.577816,0.559067
8,1.348748,0.023895,1.324852,12.694990,9.120543,2.239115,13.622252,9.743969,2.595265,0.596986,0.576932,0.592618,0.596986
9,1.285247,0.022771,1.262477,11.288370,8.376494,1.328799,11.568845,8.825651,1.597175,0.632961,0.619059,0.663401,0.632961
10,1.239518,0.021008,1.218510,10.441942,7.875986,1.469235,10.900212,8.344065,1.030378,0.684978,0.684646,0.695138,0.684978
11,1.160610,0.018062,1.142548,10.405605,7.862381,1.708549,11.056903,8.287208,2.408009,0.685464,0.683981,0.689116,0.685464
12,1.130393,0.017514,1.112880,10.213791,7.875472,-1.309574,10.762192,8.265297,-0.622508,0.721925,0.718070,0.723171,0.721925
13,1.135590,0.018171,1.117419,9.828466,7.403506,0.027773,9.851265,7.438168,-0.713145,0.711716,0.705985,0.745001,0.711716
14,1.039397,0.015897,1.023501,9.862743,7.448560,2.556545,10.206034,7.656349,2.513372,0.743316,0.741176,0.751890,0.743316
15,0.984541,0.015235,0.969307,10.165767,7.244044,-0.833482,11.395321,8.205936,-1.394005,0.750122,0.747957,0.763111,0.750122
16,0.997159,0.015501,0.981659,8.622746,6.531281,0.543176,9.008725,6.843501,0.291891,0.771998,0.770620,0.787595,0.771998
17,0.930321,0.014363,0.915957,8.925737,6.837818,-2.587107,8.997526,6.838644,-2.131850,0.789499,0.786164,0.794949,0.789499
18,0.889273,0.013530,0.875744,8.396021,6.391540,0.617666,8.513547,6.570940,-0.470183,0.763247,0.756566,0.777679,0.763247
19,0.890194,0.013424,0.876771,8.696014,6.625605,1.607830,9.365282,7.175952,1.521034,0.798736,0.798838,0.810588,0.798736
20,0.867141,0.013637,0.853504,8.543580,6.259606,1.483116,8.616710,6.372531,0.680726,0.804570,0.799447,0.813090,0.804570
21,0.822189,0.012327,0.809862,8.664562,6.557501,0.762713,9.877129,7.291148,0.732439,0.807973,0.810600,0.820245,0.807973
22,0.817404,0.012282,0.805121,8.466680,6.439348,2.336044,8.602383,6.421247,2.376749,0.827419,0.825717,0.839354,0.827419
23,0.746948,0.011990,0.734957,9.465571,7.160194,0.466804,9.896150,7.322187,0.039062,0.826446,0.826522,0.838064,0.826446
24,0.757895,0.010065,0.747830,9.555461,7.125240,-1.247584,10.378972,7.579313,-1.300780,0.849295,0.848919,0.859671,0.849295
25,0.724162,0.010759,0.713404,7.645489,5.772933,-0.265192,8.197919,6.164428,-1.414296,0.851726,0.851510,0.860000,0.851726
26,0.707828,0.009977,0.697851,7.040097,5.321681,0.502083,7.626908,5.732021,0.260938,0.829849,0.826609,0.843946,0.829849
27,0.728934,0.010193,0.718742,7.797835,5.864913,-1.650195,7.994843,6.117483,-1.794737,0.859504,0.860414,0.876579,0.859504
28,0.701733,0.010701,0.691032,8.060224,6.024032,1.022748,8.064287,6.034514,0.791793,0.838114,0.835954,0.842029,0.838114
29,0.686886,0.010172,0.676714,7.400604,5.624250,0.518631,7.880716,5.937975,0.139665,0.865824,0.866047,0.869544,0.865824
30,0.621670,0.008719,0.612951,8.528634,6.332426,-0.365956,8.398647,6.216559,-0.397710,0.862907,0.863720,0.869813,0.862907
31,0.662200,0.009154,0.653046,8.211967,5.910669,1.214615,8.522380,6.049047,1.044886,0.849295,0.851235,0.862975,0.849295
32,0.651033,0.009975,0.641059,7.683663,5.982422,1.032735,8.203772,6.289377,0.304593,0.881381,0.880560,0.884597,0.881381
33,0.604003,0.008770,0.595233,7.695798,5.404798,1.850781,8.521439,6.034695,2.024504,0.877491,0.877432,0.887087,0.877491
34,0.643723,0.009727,0.633995,6.864324,5.182986,0.338504,7.119805,5.395343,-0.489609,0.879436,0.879688,0.884965,0.879436
35,0.599562,0.009500,0.590062,8.243345,6.304909,-1.110824,7.777416,6.013631,-1.132177,0.882353,0.881055,0.885993,0.882353
36,0.548100,0.008637,0.539463,7.847962,5.754045,-0.152833,8.365485,6.226251,-0.668946,0.897910,0.898654,0.904349,0.897910
37,0.566276,0.009113,0.557163,7.925338,5.950463,2.299527,8.030172,6.041246,1.824102,0.887214,0.888820,0.899160,0.887214
38,0.569569,0.009143,0.560426,8.483363,6.439425,-0.405876,9.268581,7.154152,-0.386089,0.855129,0.854368,0.860862,0.855129
39,0.573415,0.008580,0.564836,8.018914,5.952290,1.879815,8.345028,6.276636,1.670712,0.856101,0.856187,0.866439,0.856101
40,0.547577,0.008885,0.538692,7.992685,5.976758,1.707371,8.145244,5.998439,1.170297,0.912494,0.913582,0.923831,0.912494
41,0.534557,0.009476,0.525081,7.510241,5.521243,1.536900,7.766010,5.809804,1.427276,0.879436,0.879740,0.885287,0.879436
42,0.459986,0.007817,0.452169,6.706677,5.191811,0.306640,6.999228,5.482956,-0.395599,0.905688,0.907044,0.913736,0.905688
43,0.546349,0.007775,0.538574,6.935682,5.127242,1.560727,7.317124,5.435729,0.794101,0.923189,0.924002,0.928171,0.923189
44,0.543821,0.008513,0.535308,6.573653,4.961062,1.064790,6.516572,5.027295,0.254927,0.909577,0.910278,0.914380,0.909577
45,0.497650,0.008707,0.488943,7.075888,5.362328,1.352739,7.477210,5.773710,0.538122,0.903257,0.903716,0.910932,0.903257
46,0.484284,0.007461,0.476823,6.689413,5.060157,0.931976,6.978066,5.352243,0.736526,0.922703,0.922080,0.923085,0.922703
47,0.477274,0.007456,0.469818,7.470655,5.598390,-1.914717,7.547014,5.823183,-2.155865,0.922217,0.922858,0.926440,0.922217
48,0.457413,0.007319,0.450094,7.012387,5.441391,-0.209339,7.157082,5.644826,-0.670019,0.915897,0.916307,0.922926,0.915897
49,0.483708,0.008211,0.475497,7.460869,5.832972,0.458957,7.668528,6.017585,-0.554855,0.884298,0.883656,0.889986,0.884298
