Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
1,2.192899,0.062210,2.130690,20.678823,16.365307,5.859287,20.922490,16.655054,6.832230,0.302868,0.282268,0.314775,0.302868
2,1.905388,0.042619,1.862769,18.891232,15.086038,-0.153661,17.977309,14.230179,0.923962,0.367039,0.358575,0.378895,0.367039
3,1.765269,0.035381,1.729888,16.278927,12.889897,3.592936,15.429941,12.092278,2.740948,0.394263,0.384622,0.406594,0.394263
4,1.632581,0.030024,1.602558,14.985765,11.540942,1.360142,14.942825,11.441163,2.544006,0.478853,0.467428,0.491014,0.478853
5,1.546596,0.028130,1.518466,14.025942,11.365137,3.578374,14.143400,11.382937,2.885327,0.531356,0.525508,0.548114,0.531356
6,1.471699,0.025754,1.445945,13.350426,10.379972,2.736599,13.346086,10.342253,2.427008,0.526009,0.513729,0.545813,0.526009
7,1.404298,0.024113,1.380186,12.327755,9.655019,1.097788,12.296069,9.739787,1.011799,0.583374,0.571728,0.582067,0.583374
8,1.356880,0.023454,1.333426,12.380336,9.426258,1.509195,12.476234,9.575652,1.321219,0.604278,0.585876,0.609264,0.604278
9,1.309041,0.023522,1.285519,12.478949,9.606467,-0.093125,13.234727,10.460691,-0.055711,0.629558,0.616796,0.632919,0.629558
10,1.274212,0.023318,1.250894,13.508720,10.448508,0.974616,13.252835,10.374061,2.533451,0.658726,0.654916,0.660243,0.658726
11,1.211000,0.019975,1.191026,11.197329,8.777718,0.006992,12.239198,9.629398,-0.611863,0.692270,0.689645,0.696083,0.692270
12,1.116009,0.018325,1.097684,10.746779,8.191834,1.534583,11.211407,8.747489,2.415040,0.691298,0.685530,0.700204,0.691298
13,1.119086,0.017963,1.101124,10.054425,7.842989,-0.221731,10.202517,7.998732,0.331995,0.714147,0.707302,0.722828,0.714147
