mu,epoch,vicreg_loss
25.0,1,35.87394378723226
25.0,2,34.43059826279196
25.0,3,32.991269095080874
25.0,4,31.79300995535144
25.0,5,30.738305714483733
25.0,6,29.728111842604918
25.0,7,28.610891163906203
25.0,8,27.646914944311327
25.0,9,26.54709781600891
25.0,10,25.651143347787283
25.0,11,24.81612565329619
25.0,12,23.95417728093024
25.0,13,23.2627479110127
25.0,14,22.427068427662665
25.0,15,21.92237751378873
25.0,16,21.27757130000238
25.0,17,21.023451931167827
25.0,18,20.45381524375029
25.0,19,20.048295136924104
25.0,20,19.783363497623295
25.0,21,19.55047809106804
25.0,22,19.286448342459543
25.0,23,19.26792538723099
25.0,24,18.842078359168426
25.0,25,18.768551158013747
25.0,26,18.549833768836965
25.0,27,18.468702488174745
25.0,28,18.426600952810535
25.0,29,18.34034552020288
25.0,30,18.219285847825585
25.0,31,18.043687696928018
25.0,32,18.017539808683306
25.0,33,17.95832352962927
25.0,34,17.828602691517972
25.0,35,17.863728971443127
25.0,36,17.740319076303805
25.0,37,17.759395766162744
25.0,38,17.698170444198222
25.0,39,17.59754021622947
25.0,40,17.59066056759558
25.0,41,17.506915067002993
25.0,42,17.477619721192383
25.0,43,17.466806067962036
25.0,44,17.44777098198599
25.0,45,17.37930817088393
25.0,46,17.347393459885396
25.0,47,17.377015306093345
25.0,48,17.241265252371814
25.0,49,17.261214932389507
25.0,50,17.243875498446986
25.0,51,17.30365602037458
25.0,52,17.264860183756564
25.0,53,17.190813431275068
25.0,54,17.167481265812913
25.0,55,17.083281334952137
25.0,56,17.089633333030466
25.0,57,17.19006403934494
25.0,58,17.030855225943753
25.0,59,16.985219680419434
25.0,60,17.035738923361844
25.0,61,16.977909258752067
25.0,62,16.994999881739293
25.0,63,16.966688772387435
25.0,64,16.953953290972436
25.0,65,16.97761903872318
25.0,66,16.931925237576696
25.0,67,16.934062536313473
25.0,68,16.8966440231364
25.0,69,16.817312632765724
25.0,70,16.904056941237403
25.0,71,16.917306799436602
25.0,72,16.88001610662972
25.0,73,16.819679560744078
25.0,74,16.851198019427514
25.0,75,16.807755871353862
25.0,76,16.82841939251318
25.0,77,16.83469757823664
25.0,78,16.861133588172088
25.0,79,16.7576418432279
25.0,80,16.78718419068646
