mu,epoch,vicreg_loss
30.0,1,40.81369344000823
30.0,2,38.74964678653569
30.0,3,37.10145172098768
30.0,4,35.35326740483894
30.0,5,33.64522731001769
30.0,6,32.28883862463591
30.0,7,31.065692326096254
30.0,8,29.697560545917504
30.0,9,28.334999850977248
30.0,10,27.2281192020676
30.0,11,26.09674701512417
30.0,12,25.18635846584916
30.0,13,24.211272126364612
30.0,14,23.43361775101584
30.0,15,22.84289124747303
30.0,16,22.361982266638723
30.0,17,21.880299047411523
30.0,18,21.409283458470345
30.0,19,21.095865254726842
30.0,20,20.88042130871354
30.0,21,20.51211864894159
30.0,22,20.364975214959465
30.0,23,20.143564102009872
30.0,24,19.936580013687685
30.0,25,19.703263143990164
30.0,26,19.688432797889046
30.0,27,19.573453989780155
30.0,28,19.500551109161172
30.0,29,19.28390217718677
30.0,30,19.254229941578192
30.0,31,19.252640004788287
30.0,32,19.099259601893507
30.0,33,19.070603899070832
30.0,34,19.016167310910806
30.0,35,18.88816893848781
30.0,36,18.8687277744227
30.0,37,18.748805024436063
30.0,38,18.749721287726082
30.0,39,18.79673067304257
30.0,40,18.64462610557974
30.0,41,18.569093342616817
30.0,42,18.57014115439238
30.0,43,18.606568992217486
30.0,44,18.482461612278694
30.0,45,18.478165525938067
30.0,46,18.498034764991424
30.0,47,18.354059532583157
30.0,48,18.320524460164823
30.0,49,18.29563426844109
30.0,50,18.301751040011762
30.0,51,18.355936974804298
30.0,52,18.155457109570982
30.0,53,18.216773711791504
30.0,54,18.086280315995058
30.0,55,18.241136212215245
30.0,56,18.19001691077198
30.0,57,18.034184081532132
30.0,58,18.129577104494633
30.0,59,18.091154381175226
30.0,60,18.00104577837385
30.0,61,17.989454445119534
30.0,62,18.054430065231426
30.0,63,18.05489029012153
30.0,64,17.93605438889426
30.0,65,17.927533685763148
30.0,66,17.98896730853337
30.0,67,17.947176212621468
30.0,68,17.932763659906325
30.0,69,17.906130370533514
30.0,70,17.884521522572904
30.0,71,17.779522234989262
30.0,72,17.882793402321667
30.0,73,17.896063967604185
30.0,74,17.820580472296804
30.0,75,17.759004292405336
30.0,76,17.713549119926423
30.0,77,17.75942300763404
30.0,78,17.806371245747098
30.0,79,17.744754812905246
30.0,80,17.7064575811572
