mu,epoch,vicreg_loss
27.0,1,38.11073411195396
27.0,2,36.28903836147171
27.0,3,34.50620778316809
27.0,4,33.26140036029077
27.0,5,31.872723580680002
27.0,6,30.777388558686972
27.0,7,29.58300938880014
27.0,8,28.463292309056932
27.0,9,27.38822577187471
27.0,10,26.257534144239845
27.0,11,25.306731907802526
27.0,12,24.417825467118593
27.0,13,23.564599779482997
27.0,14,22.963719733407565
27.0,15,22.18989546181204
27.0,16,21.57126996609493
27.0,17,21.10327498330293
27.0,18,20.873840612149205
27.0,19,20.54228099165994
27.0,20,20.2153235615016
27.0,21,19.90401438622672
27.0,22,19.748735379472436
27.0,23,19.473510971374917
27.0,24,19.370605888926935
27.0,25,19.27513942540249
27.0,26,19.120113354977047
27.0,27,18.89271381413825
27.0,28,18.854981326929558
27.0,29,18.77638134236966
27.0,30,18.59327039986013
27.0,31,18.55729916703717
27.0,32,18.39258130943186
27.0,33,18.41055775961984
27.0,34,18.287848608834402
27.0,35,18.31284550767397
27.0,36,18.276024963572443
27.0,37,18.173270034535385
27.0,38,18.106883953028273
27.0,39,18.00446929218613
27.0,40,18.101532774391735
27.0,41,17.979564340792606
27.0,42,17.948032384243444
27.0,43,17.845797228081047
27.0,44,17.87295709337507
27.0,45,17.89559595034183
27.0,46,17.831872384920615
27.0,47,17.842681085156183
27.0,48,17.753328345009738
27.0,49,17.75543803302882
27.0,50,17.712038070719455
27.0,51,17.730971820204854
27.0,52,17.64577702368213
27.0,53,17.686233798079243
27.0,54,17.61705483613568
27.0,55,17.608076902830074
27.0,56,17.567895355784845
27.0,57,17.539241105755753
27.0,58,17.50121488431108
27.0,59,17.509412529949195
27.0,60,17.421235660048765
27.0,61,17.505979688208953
27.0,62,17.448320173612423
27.0,63,17.422624924154242
27.0,64,17.412535203951542
27.0,65,17.438617691019665
27.0,66,17.39968273636496
27.0,67,17.364527347091045
27.0,68,17.305159503850184
27.0,69,17.436279286688894
27.0,70,17.34077371615116
27.0,71,17.320137455562087
27.0,72,17.303219715011455
27.0,73,17.168935686628394
27.0,74,17.330165517982717
27.0,75,17.24328422164408
27.0,76,17.310880813802356
27.0,77,17.28738462781715
27.0,78,17.2063868068089
27.0,79,17.275134727060397
27.0,80,17.236956933789322
